                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                   0.53,                0.44295,                0.99085,                0.86464,                0.87371,                0.90066,                0.74273,                0.74044,                0.63703,                 1.0609,             0.00023608,             0.00023608,             0.00023608
                     72,                0.53763,                0.45127,                0.98737,                0.85268,                0.85136,                0.90219,                0.74745,                0.73164,                0.63992,                 1.0651,             0.00022847,             0.00022847,             0.00022847
                     73,                0.57475,                0.59102,                0.99579,                0.86199,                 0.8733,                0.90084,                 0.7484,                 0.7142,                0.63919,                 1.0381,             0.00022086,             0.00022086,             0.00022086
                     74,                0.54188,                0.46216,                0.99549,                0.79852,                0.87351,                 0.8926,                0.73957,                0.70456,                0.66233,                 1.0619,             0.00021324,             0.00021324,             0.00021324
                     75,                0.53759,                0.44668,                 0.9905,                0.85395,                0.91821,                0.93246,                0.76417,                0.72024,                 0.5846,                  1.064,             0.00020563,             0.00020563,             0.00020563
                     76,                0.52826,                0.44043,                0.98669,                0.89427,                0.84573,                0.92314,                0.74574,                0.72165,                0.59741,                 1.0575,             0.00019802,             0.00019802,             0.00019802
                     77,                0.53564,                0.43487,                0.98986,                0.89691,                0.90715,                0.93003,                0.76618,                0.70763,                0.58432,                 1.0323,              0.0001904,              0.0001904,              0.0001904
                     78,                0.52793,                0.42665,                0.98114,                0.84726,                 0.9467,                0.92611,                 0.7661,                  0.708,                0.56451,                 1.0474,             0.00018279,             0.00018279,             0.00018279
                     79,                0.53031,                0.44098,                0.98579,                0.88006,                0.86632,                 0.9106,                0.75745,                0.69874,                0.58856,                 1.0539,             0.00017518,             0.00017518,             0.00017518
                     80,                0.52147,                0.48222,                0.98033,                0.87171,                 0.8483,                0.90779,                0.74811,                0.70729,                 0.5819,                 1.0461,             0.00016757,             0.00016757,             0.00016757
                     81,                0.52487,                0.43748,                0.98287,                0.86741,                0.91601,                0.92145,                0.75895,                0.70637,                0.55511,                 1.0413,             0.00015995,             0.00015995,             0.00015995
